model,resampler,select_k,fold,test_subjects,best_params,inner_best_f1,strategy,n_features,f1,precision,recall,roc_auc,auprc,train_time_s,pred_time_s,model_size_bytes
RF,none,all,1,"['S07', 'S10', 'f12']","{'n_estimators': 150, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5470585673605861,absolute,49,0.3291139240506329,0.45614035087719296,0.25742574257425743,0.5410078321264963,0.476687626752329,1.1031417846679688,0.198744535446167,3733097
RF,none,all,2,"['S08', 'S13', 'f05']","{'n_estimators': 200, 'max_features': 0.7, 'min_samples_leaf': 1}",0.5247537413924468,absolute,49,0.5789473684210527,0.5913978494623656,0.5670103092783505,0.7449034958530346,0.64403180163647,1.5827820301055908,0.35851550102233887,6326676
RF,none,all,3,"['S09', 'S18', 'f15']","{'n_estimators': 250, 'max_features': 0.6, 'min_samples_leaf': 1}",0.5340009493126587,absolute,49,0.5309734513274337,0.4411764705882353,0.6666666666666666,0.6047497879558948,0.5721966119926263,1.6236498355865479,0.23163723945617676,7820805
RF,none,all,4,"['S15', 'S17', 'f04']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 1}",0.537659425341092,absolute,49,0.4230769230769231,0.5789473684210527,0.3333333333333333,0.6619560994560995,0.6345414811163043,1.206463098526001,0.1760883331298828,4566129
RF,none,all,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 200, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5604632845069989,absolute,49,0.5433070866141733,0.552,0.5348837209302325,0.5191029900332226,0.5819153983987709,1.3686714172363281,0.21314334869384766,4796461
RF,none,all,6,"['S01', 'S05', 'f01']","{'n_estimators': 200, 'max_features': 0.7, 'min_samples_leaf': 3}",0.4970067926004681,absolute,49,0.7449392712550608,0.7076923076923077,0.7863247863247863,0.7271995977878332,0.7867324564343584,1.4401049613952637,0.22301483154296875,5007661
RF,none,all,7,"['S03', 'f09', 'f10']","{'n_estimators': 150, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5398497537291,absolute,49,0.5853658536585366,0.6060606060606061,0.5660377358490566,0.6398342444013402,0.6423250580685862,1.0171139240264893,0.1634533405303955,3827337
RF,none,all,8,"['S04', 'f08', 'f16']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5280184970692439,absolute,49,0.6288659793814433,0.6931818181818182,0.5754716981132075,0.7027081977878985,0.691915700936441,1.0278091430664062,0.16324591636657715,3686857
RF,none,all,9,"['S16', 'f02', 'f11']","{'n_estimators': 250, 'max_features': 0.6, 'min_samples_leaf': 2}",0.5551031724709643,absolute,49,0.4796380090497738,0.43089430894308944,0.5408163265306123,0.47652231624357055,0.42412869977031287,1.2450916767120361,0.23323535919189453,6974234
RF,none,all,10,"['S06', 'f06', 'f18']","{'n_estimators': 250, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5371748376514036,absolute,49,0.5957446808510638,0.6829268292682927,0.5283018867924528,0.6452504879635653,0.6249936098634309,1.1379883289337158,0.16534161567687988,6159674
XGB,none,all,1,"['S07', 'S10', 'f12']","{'n_estimators': 300, 'learning_rate': 0.08, 'max_depth': 10, 'subsample': 1.0}",0.5635355593532602,absolute,49,0.40236686390532544,0.5,0.33663366336633666,0.6039603960396039,0.5240200548431904,1.8332748413085938,0.018558263778686523,1047514
XGB,none,all,2,"['S08', 'S13', 'f05']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'subsample': 0.9}",0.5397217576234624,absolute,49,0.6372549019607843,0.6074766355140186,0.6701030927835051,0.7511045655375553,0.6475787797707157,0.9792077541351318,0.01100778579711914,755695
XGB,none,all,3,"['S09', 'S18', 'f15']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.9}",0.5475946741567332,absolute,49,0.5855855855855856,0.49242424242424243,0.7222222222222222,0.6985581000848176,0.6317782233475553,0.7410180568695068,0.011509895324707031,662912
XGB,none,all,4,"['S15', 'S17', 'f04']","{'n_estimators': 300, 'learning_rate': 0.08, 'max_depth': 8, 'subsample': 0.9}",0.5395435213465165,absolute,49,0.37583892617449666,0.56,0.2828282828282828,0.5731351981351981,0.5657598002805261,1.0222604274749756,0.013237237930297852,941164
XGB,none,all,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 8, 'subsample': 1.0}",0.5528385331663924,absolute,49,0.5593869731800766,0.553030303030303,0.5658914728682171,0.5431201550387598,0.5684137375196148,0.9025261402130127,0.012865066528320312,632299
XGB,none,all,6,"['S01', 'S05', 'f01']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 10, 'subsample': 1.0}",0.5040573044868978,absolute,49,0.717948717948718,0.717948717948718,0.717948717948718,0.7150326797385621,0.7743135885972857,0.8913047313690186,0.012036561965942383,708480
XGB,none,all,7,"['S03', 'f09', 'f10']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'subsample': 0.9}",0.5361625242050339,absolute,49,0.6727272727272727,0.6491228070175439,0.6981132075471698,0.7011109151825075,0.701038675959197,1.1718800067901611,0.012029886245727539,762425
XGB,none,all,8,"['S04', 'f08', 'f16']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 10, 'subsample': 1.0}",0.5587276221435589,absolute,49,0.6170212765957447,0.7073170731707317,0.5471698113207547,0.6939655172413794,0.660495810414147,1.1326110363006592,0.011527299880981445,859551
XGB,none,all,9,"['S16', 'f02', 'f11']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 8, 'subsample': 1.0}",0.5857884858953488,absolute,49,0.5181818181818182,0.4672131147540984,0.5816326530612245,0.5362535258005641,0.5126047482299125,0.9561965465545654,0.011527061462402344,809276
XGB,none,all,10,"['S06', 'f06', 'f18']","{'n_estimators': 300, 'learning_rate': 0.08, 'max_depth': 8, 'subsample': 0.9}",0.5659015120783557,absolute,49,0.5445026178010471,0.611764705882353,0.49056603773584906,0.6344339622641509,0.6041381145408274,1.391118049621582,0.015031576156616211,946945
LGBM,none,all,1,"['S07', 'S10', 'f12']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 8, 'num_leaves': 31}",0.5696168308310429,absolute,49,0.4046242774566474,0.4861111111111111,0.3465346534653465,0.5876311511748191,0.4973174019947806,0.5147004127502441,0.008524417877197266,934237
LGBM,none,all,2,"['S08', 'S13', 'f05']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 8, 'num_leaves': 31}",0.5496144151151878,absolute,49,0.6041666666666666,0.6105263157894737,0.5979381443298969,0.7314161692892024,0.6433356050372857,0.40465235710144043,0.008021831512451172,627458
LGBM,none,all,3,"['S09', 'S18', 'f15']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 8, 'num_leaves': 31}",0.5571569024277041,absolute,49,0.5932203389830508,0.4794520547945205,0.7777777777777778,0.6568278201865988,0.5685193555493848,0.2984805107116699,0.007007598876953125,626906
LGBM,none,all,4,"['S15', 'S17', 'f04']","{'n_estimators': 300, 'learning_rate': 0.08, 'max_depth': 8, 'num_leaves': 50}",0.5520331493350681,absolute,49,0.40522875816993464,0.5740740740740741,0.31313131313131315,0.5831390831390831,0.5755539095985518,0.4931035041809082,0.008507251739501953,1153741
LGBM,none,all,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 8, 'num_leaves': 50}",0.5592215227810746,absolute,49,0.5970149253731343,0.5755395683453237,0.6201550387596899,0.5492109634551495,0.558545517459868,0.6128654479980469,0.011852741241455078,758990
LGBM,none,all,6,"['S01', 'S05', 'f01']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 8, 'num_leaves': 31}",0.517259645494381,absolute,49,0.7350427350427351,0.7350427350427351,0.7350427350427351,0.762292609351433,0.8176914026938952,0.5156335830688477,0.010090827941894531,624879
LGBM,none,all,7,"['S03', 'f09', 'f10']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 8, 'num_leaves': 31}",0.5391873081776923,absolute,49,0.5727272727272728,0.5526315789473685,0.5943396226415094,0.6393934050432023,0.6866930302078289,0.40082621574401855,0.024699687957763672,624088
LGBM,none,all,8,"['S04', 'f08', 'f16']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 8, 'num_leaves': 50}",0.5562727950993104,absolute,49,0.5641025641025641,0.6179775280898876,0.5188679245283019,0.6731457384515289,0.632683110368427,0.35307812690734863,0.009040117263793945,1152657
LGBM,none,all,9,"['S16', 'f02', 'f11']","{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 31}",0.5922400782445566,absolute,49,0.4796380090497738,0.43089430894308944,0.5408163265306123,0.5009125601460096,0.44763713313328146,0.4492363929748535,0.008002042770385742,1026864
LGBM,none,all,10,"['S06', 'f06', 'f18']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 8, 'num_leaves': 31}",0.5715162347831498,absolute,49,0.6069651741293532,0.6421052631578947,0.5754716981132075,0.6693233571893299,0.6154257528914195,0.28751111030578613,0.00751948356628418,968953
